ar_id,property_id,tenant_id,month,billed_rent,amount_paid,outstanding_balance,aging_bucket,collection_priority,synthetic_record
AR-0000001,PROP-0001,TEN-00001,2025-01-01,4326.35,4326.35,0.0,Current,Low,True
AR-0000002,PROP-0001,TEN-00001,2025-02-01,4326.35,3244.76,1081.59,31-60,Medium,True
AR-0000003,PROP-0001,TEN-00001,2025-03-01,4326.35,4326.35,0.0,Current,Low,True
AR-0000004,PROP-0001,TEN-00001,2025-04-01,4326.35,4326.35,0.0,Current,Low,True
AR-0000005,PROP-0001,TEN-00001,2025-05-01,4326.35,4326.35,0.0,Current,Low,True
AR-0000006,PROP-0001,TEN-00001,2025-06-01,4326.35,4326.35,0.0,Current,Low,True
AR-0000007,PROP-0001,TEN-00001,2025-07-01,4326.35,1081.59,3244.76,1-30,Medium,True
AR-0000008,PROP-0001,TEN-00001,2025-08-01,4326.35,4326.35,0.0,Current,Low,True
AR-0000009,PROP-0001,TEN-00001,2025-09-01,4326.35,4326.35,0.0,Current,Low,True
AR-0000010,PROP-0001,TEN-00001,2025-10-01,4326.35,4326.35,0.0,Current,Low,True
AR-0000011,PROP-0001,TEN-00001,2025-11-01,4326.35,4326.35,0.0,Current,Low,True
AR-0000012,PROP-0001,TEN-00001,2025-12-01,4326.35,1081.59,3244.76,31-60,Medium,True
AR-0000013,PROP-0001,TEN-00002,2025-01-01,15847.28,15847.28,0.0,Current,Low,True
AR-0000014,PROP-0001,TEN-00002,2025-02-01,15847.28,15847.28,0.0,Current,Low,True
AR-0000015,PROP-0001,TEN-00002,2025-03-01,15847.28,15847.28,0.0,Current,Low,True
AR-0000016,PROP-0001,TEN-00002,2025-04-01,15847.28,15847.28,0.0,Current,Low,True
AR-0000017,PROP-0001,TEN-00002,2025-05-01,15847.28,15847.28,0.0,Current,Low,True
AR-0000018,PROP-0001,TEN-00002,2025-06-01,15847.28,15847.28,0.0,Current,Low,True
AR-0000019,PROP-0001,TEN-00002,2025-07-01,15847.28,15847.28,0.0,Current,Low,True
AR-0000020,PROP-0001,TEN-00002,2025-08-01,15847.28,15847.28,0.0,Current,Low,True
AR-0000021,PROP-0001,TEN-00002,2025-09-01,15847.28,15847.28,0.0,Current,Low,True
AR-0000022,PROP-0001,TEN-00002,2025-10-01,15847.28,15847.28,0.0,Current,Low,True
AR-0000023,PROP-0001,TEN-00002,2025-11-01,15847.28,15847.28,0.0,Current,Low,True
AR-0000024,PROP-0001,TEN-00002,2025-12-01,15847.28,15847.28,0.0,Current,Low,True
AR-0000025,PROP-0001,TEN-00003,2025-01-01,19735.47,19735.47,0.0,Current,Low,True
AR-0000026,PROP-0001,TEN-00003,2025-02-01,19735.47,19735.47,0.0,Current,Low,True
AR-0000027,PROP-0001,TEN-00003,2025-03-01,19735.47,19735.47,0.0,Current,Low,True
AR-0000028,PROP-0001,TEN-00003,2025-04-01,19735.47,19735.47,0.0,Current,Low,True
AR-0000029,PROP-0001,TEN-00003,2025-05-01,19735.47,19735.47,0.0,Current,Low,True
AR-0000030,PROP-0001,TEN-00003,2025-06-01,19735.47,19735.47,0.0,Current,Low,True
AR-0000031,PROP-0001,TEN-00003,2025-07-01,19735.47,19735.47,0.0,Current,Low,True
AR-0000032,PROP-0001,TEN-00003,2025-08-01,19735.47,19735.47,0.0,Current,Low,True
AR-0000033,PROP-0001,TEN-00003,2025-09-01,19735.47,19735.47,0.0,Current,Low,True
AR-0000034,PROP-0001,TEN-00003,2025-10-01,19735.47,19735.47,0.0,Current,Low,True
AR-0000035,PROP-0001,TEN-00003,2025-11-01,19735.47,19735.47,0.0,Current,Low,True
AR-0000036,PROP-0001,TEN-00003,2025-12-01,19735.47,9867.74,9867.74,1-30,Medium,True
AR-0000037,PROP-0001,TEN-00004,2025-01-01,2123.59,2123.59,0.0,Current,Low,True
AR-0000038,PROP-0001,TEN-00004,2025-02-01,2123.59,2123.59,0.0,Current,Low,True
AR-0000039,PROP-0001,TEN-00004,2025-03-01,2123.59,2123.59,0.0,Current,Low,True
AR-0000040,PROP-0001,TEN-00004,2025-04-01,2123.59,2123.59,0.0,Current,Low,True
