Property ID,Property Address,Borough,Neighborhood,Property Manager,Tenant ID,Tenant Name,Tenant Category,Tenant Status,Monthly Rent,Latest AR Month,Latest Outstanding Balance,Latest Aging Bucket,Latest Collection Priority,Total Outstanding Balance,Months With Balance,High or Critical Months,AR Risk Status
PROP-0097,416 WEST 52 STREET,Manhattan,CLINTON,Casey Rivera,TEN-01196,Brightline Group 1196,Residential,Active,186883.66,2025-12-01,93441.83,1-30,Medium,93441.83,12,0,High AR risk
PROP-0168,57 READE STREET,Manhattan,CIVIC CENTER,Drew Thompson,TEN-02067,Northstar Studio 2067,Retail,Renewal Risk,91042.26,2025-12-01,68281.69,61-90,High,250366.2,12,1,High AR risk
PROP-0132,1 CENTRAL PARK WEST,Manhattan,UPPER WEST SIDE (59-79),Taylor Morgan,TEN-01601,Northstar Fitness 1601,Healthcare,Active,135261.56,2025-12-01,67630.78,61-90,High,67630.78,12,1,High AR risk
PROP-0145,255 WEST 84 STREET,Manhattan,UPPER WEST SIDE (79-96),Taylor Morgan,TEN-01772,Cornerstone Clinic 1772,Residential,Renewal Risk,66517.26,2025-12-01,66517.26,1-30,Medium,66517.26,12,0,High AR risk
PROP-0082,415 EAST 54 STREET,Manhattan,MIDTOWN EAST,Riley Chen,TEN-01026,Metro Cafe 1026,Retail,Active,93590.21,2025-12-01,46795.1,31-60,Medium,187180.4,12,1,High AR risk
PROP-0079,200 EAST 94 STREET,Manhattan,UPPER EAST SIDE (79-96),Morgan Patel,TEN-00983,Urban Design 983,Residential,Active,88618.89,2025-12-01,44309.44,1-30,Medium,44309.44,12,0,High AR risk
PROP-0033,550 VANDERBILT AVENUE,Brooklyn,PROSPECT HEIGHTS,Nadia Williams,TEN-00404,Atlas Retail 404,Residential,Active,167105.0,2025-12-01,41776.25,61-90,High,41776.25,12,1,High AR risk
PROP-0111,260 PARK AVENUE SOUTH,Manhattan,FLATIRON,Casey Rivera,TEN-01371,Evergreen Design 1371,Residential,Active,135310.11,2025-12-01,33827.53,31-60,Medium,169137.64,12,0,High AR risk
PROP-0132,1 CENTRAL PARK WEST,Manhattan,UPPER WEST SIDE (59-79),Taylor Morgan,TEN-01608,Harbor Services 1608,Residential,Active,64073.82,2025-12-01,32036.91,1-30,Medium,32036.91,12,0,High AR risk
PROP-0088,148 EAST 24 STREET,Manhattan,GRAMERCY,Taylor Morgan,TEN-01114,Parkside Design 1114,Residential,Active,30713.91,2025-12-01,23035.43,1-30,Medium,46070.86,12,0,High AR risk
