financial_id,property_id,month,budget_income,actual_income,income_variance,income_variance_pct,budget_expenses,actual_expenses,expense_variance,expense_variance_pct,net_operating_income,ebitda,occupancy_rate,management_fee,synthetic_record
FIN-PROP-0001-202501,PROP-0001,2025-01-01,159698.8,140337.25,-19361.55,-0.1212,45351.01,51710.23,6359.22,0.1402,88627.02,84089.57,0.8886,4537.46,True
FIN-PROP-0001-202502,PROP-0001,2025-02-01,160896.54,162587.49,1690.95,0.0105,45202.82,45994.43,791.61,0.0175,116593.06,110992.06,0.9648,5601.01,True
FIN-PROP-0001-202503,PROP-0001,2025-03-01,161773.35,151776.13,-9997.22,-0.0618,44797.95,48952.66,4154.72,0.0927,102823.46,98572.02,0.9404,4251.44,True
FIN-PROP-0001-202504,PROP-0001,2025-04-01,162094.28,154932.02,-7162.26,-0.0442,44244.89,48557.4,4312.51,0.0975,106374.62,101091.08,0.9366,5283.55,True
FIN-PROP-0001-202505,PROP-0001,2025-05-01,161773.35,150948.21,-10825.14,-0.0669,43691.83,46082.03,2390.2,0.0547,104866.18,100990.7,0.9366,3875.48,True
FIN-PROP-0001-202506,PROP-0001,2025-06-01,160896.54,153124.67,-7771.87,-0.0483,43286.96,46297.5,3010.54,0.0695,106827.17,100873.65,0.9592,5953.53,True
FIN-PROP-0001-202507,PROP-0001,2025-07-01,159698.8,145981.97,-13716.83,-0.0859,43138.76,46638.58,3499.81,0.0811,99343.39,92952.79,0.8932,6390.6,True
FIN-PROP-0001-202508,PROP-0001,2025-08-01,158501.06,153584.37,-4916.69,-0.031,43286.96,47767.7,4480.75,0.1035,105816.67,99671.65,0.9595,6145.02,True
FIN-PROP-0001-202509,PROP-0001,2025-09-01,157624.25,154521.93,-3102.32,-0.0197,43691.83,46643.7,2951.88,0.0676,107878.23,103513.63,0.9555,4364.59,True
FIN-PROP-0001-202510,PROP-0001,2025-10-01,157303.32,148334.66,-8968.66,-0.057,44244.89,46499.71,2254.82,0.051,101834.95,96907.74,0.9224,4927.21,True
FIN-PROP-0001-202511,PROP-0001,2025-11-01,157624.25,136348.39,-21275.86,-0.135,44797.95,47531.31,2733.36,0.061,88817.08,85323.57,0.8765,3493.51,True
FIN-PROP-0001-202512,PROP-0001,2025-12-01,158501.06,147370.56,-11130.5,-0.0702,45202.82,45682.72,479.9,0.0106,101687.84,97766.04,0.9306,3921.8,True
FIN-PROP-0002-202501,PROP-0002,2025-01-01,917482.5,810016.8,-107465.7,-0.1171,359302.84,380064.18,20761.34,0.0578,429952.62,408192.13,0.9475,21760.49,True
