property_id,property_address,borough,neighborhood,asset_type,property_manager_name,months_reported,total_budget_income,total_actual_income,total_income_variance,income_budget_status,total_budget_expenses,total_actual_expenses,total_expense_variance,expense_budget_status,total_noi,total_ebitda,average_occupancy_rate,latest_month,latest_income_variance,latest_income_variance_pct,latest_expense_variance,latest_expense_variance_pct,latest_noi,prior_month_noi,latest_noi_change,noi_trend_status,latest_ebitda,prior_month_ebitda,latest_ebitda_change,ebitda_trend_status,budget_variance_priority
PROP-0171,25 CENTRAL PARK WEST,Manhattan,UPPER WEST SIDE (59-79),Mixed-Use Condo,Cameron Brooks,12,44126169.12,41814539.22,-2311629.9,Under income budget,11031542.28,12686635.3,1655093.03,Over expense budget,29127903.9,27735923.62,0.9447,2025-12-01,-287505.78,-0.0788,89337.55,0.0951,2333560.06,2387422.72,-53862.66,Declining NOI,2193165.78,2278130.39,-84964.61,Declining EBITDA,Management review recommended
PROP-0170,465 WEST 23 STREET,Manhattan,CHELSEA,Mixed-Use Condo,Casey Rivera,12,33993967.56,31271407.03,-2722560.53,Under income budget,10250503.07,11784714.4,1534211.32,Over expense budget,19486692.65,18366482.97,0.9204,2025-12-01,-241036.73,-0.0857,117680.23,0.1348,1580164.69,1581885.87,-1721.18,Declining NOI,1472171.63,1485130.03,-12958.4,Declining EBITDA,Management review recommended
PROP-0132,1 CENTRAL PARK WEST,Manhattan,UPPER WEST SIDE (59-79),Multifamily Condo,Taylor Morgan,12,28577102.04,26703830.62,-1873271.43,Under income budget,9463579.96,10809634.14,1346054.19,Over expense budget,15894196.49,14954939.82,0.9411,2025-12-01,-211887.67,-0.0896,114966.39,0.1427,1231004.38,1303107.85,-72103.47,Declining NOI,1151988.94,1241303.67,-89314.73,Declining EBITDA,Management review recommended
PROP-0016,252 7 AVENUE,Manhattan,CHELSEA,Multifamily Condo,Riley Chen,12,37878106.44,32076685.17,-5801421.26,Under income budget,10734573.29,12013212.88,1278639.59,Over expense budget,20063472.3,18895584.44,0.8442,2025-12-01,-388234.28,-0.1239,122914.5,0.1345,1707770.97,1675803.0,31967.97,Improving NOI,1621352.84,1600054.47,21298.37,Improving EBITDA,Management review recommended
PROP-0097,416 WEST 52 STREET,Manhattan,CLINTON,Multifamily Condo,Casey Rivera,12,13247523.12,12387760.65,-859762.45,Under income budget,3958377.24,4666323.37,707946.1,Over expense budget,7721437.3,7277927.69,0.9324,2025-12-01,-159165.95,-0.1453,56007.49,0.1662,543500.56,643872.33,-100371.77,Declining NOI,510455.18,612509.2,-102054.02,Declining EBITDA,Management review recommended
PROP-0135,160 WEST END AVENUE,Manhattan,UPPER WEST SIDE (59-79),Residential Condo,Avery Johnson,12,21017800.56,19503505.62,-1514294.92,Under income budget,8420199.14,9024445.43,604246.27,Over expense budget,10479060.2,9782774.37,0.9365,2025-12-01,-167761.52,-0.0965,83547.27,0.1165,770163.31,821392.53,-51229.22,Declining NOI,717012.64,754639.41,-37626.77,Declining EBITDA,Management review recommended
PROP-0082,415 EAST 54 STREET,Manhattan,MIDTOWN EAST,Multifamily Condo,Riley Chen,12,9081382.84,8621423.93,-459958.91,Under income budget,3491081.91,3826569.99,335488.08,Over expense budget,4794853.92,4498603.79,0.9432,2025-12-01,-106471.86,-0.1418,35657.06,0.12,311754.95,388190.95,-76436.0,Declining NOI,291858.76,361301.57,-69442.81,Declining EBITDA,Management review recommended
PROP-0079,200 EAST 94 STREET,Manhattan,UPPER EAST SIDE (79-96),Multifamily Condo,Morgan Patel,12,19938939.72,18343114.83,-1595824.9,Under income budget,7237809.65,7531521.32,293711.66,Over expense budget,10811593.5,10184168.92,0.9297,2025-12-01,-37593.37,-0.0228,-17602.13,-0.0286,1012915.82,878231.94,134683.88,Improving NOI,953772.21,839385.35,114386.86,Improving EBITDA,Management review recommended
PROP-0106,467 CENTRAL PARK WEST,Manhattan,MANHATTAN VALLEY,Multifamily Condo,Cameron Brooks,12,4228777.68,3910700.1,-318077.6,Under income budget,1626401.09,1909883.74,283482.66,Over expense budget,2000816.32,1859702.54,0.9229,2025-12-01,-41648.35,-0.1191,30739.01,0.222,138899.98,157249.11,-18349.13,Declining NOI,127874.33,146996.59,-19122.26,Declining EBITDA,Management review recommended
PROP-0046,755 KENT AVENUE,Brooklyn,WILLIAMSBURG-CENTRAL,Mixed-Use Condo,Riley Chen,12,5628876.72,5290414.18,-338462.56,Under income budget,2357375.66,2628724.21,271348.51,Over expense budget,2661689.98,2487778.2,0.9355,2025-12-01,-40251.04,-0.0865,2010.61,0.01,222592.16,256881.17,-34289.01,Declining NOI,203455.32,243118.52,-39663.2,Declining EBITDA,Management review recommended
PROP-0111,260 PARK AVENUE SOUTH,Manhattan,FLATIRON,Mixed-Use Condo,Casey Rivera,12,10088159.16,9420941.38,-667217.78,Under income budget,2941591.32,3210331.97,268740.65,Over expense budget,6210609.4,5898115.37,0.9359,2025-12-01,-4558.95,-0.0055,35594.14,0.1421,543781.85,551822.72,-8040.87,Declining NOI,516789.72,532154.76,-15365.04,Declining EBITDA,Management review recommended
