tenant_id,property_id,tenant_name,tenant_category,occupied_sqft,unit_count,lease_start_date,lease_end_date,monthly_rent,security_deposit,tenant_status,synthetic_record
TEN-00001,PROP-0001,Pioneer Labs 1,Food & Beverage,3529,1,2021-02-19,2023-02-19,4326.35,4326.35,Renewal Risk,True
TEN-00002,PROP-0001,Liberty Fitness 2,Residential,5857,1,2024-08-09,2025-08-09,15847.28,15847.28,Active,True
TEN-00003,PROP-0001,Cedar Holdings 3,Residential,9747,2,2022-05-13,2025-05-13,19735.47,19735.47,Active,True
TEN-00004,PROP-0001,Northstar Market 4,Residential,3400,1,2023-02-25,2026-02-25,2123.59,4247.18,Active,True
TEN-00005,PROP-0001,Vista Group 5,Residential,1675,1,2024-09-07,2027-09-07,12473.82,12473.82,Active,True
TEN-00006,PROP-0001,Brightline Design 6,Residential,1063,3,2023-05-17,2025-05-17,32142.17,64284.33,Active,True
TEN-00007,PROP-0001,Summit Cafe 7,Residential,4216,1,2023-03-21,2027-03-21,8100.34,16200.67,Active,True
TEN-00008,PROP-0001,Hudson Services 8,Residential,4689,2,2023-06-14,2024-06-14,31944.86,31944.86,Active,True
TEN-00009,PROP-0001,Hudson Services 9,Residential,3913,1,2024-04-12,2025-04-12,12159.37,18239.06,Active,True
TEN-00010,PROP-0001,Summit Retail 10,Retail,1413,1,2024-07-24,2025-07-24,900.0,1350.0,Active,True
TEN-00011,PROP-0001,Vista Cafe 11,Residential,474,1,2024-01-10,2028-01-10,13074.69,26149.37,Active,True
TEN-00012,PROP-0001,Parkside Pharmacy 12,Residential,1221,1,2023-12-03,2024-12-03,6870.86,6870.86,Active,True
TEN-00013,PROP-0002,Parkside Pharmacy 13,Residential,38539,35,2022-12-05,2023-12-05,64675.21,97012.82,Active,True
TEN-00014,PROP-0002,Sterling Fitness 14,Residential,34143,117,2024-01-21,2027-01-21,205234.37,307851.56,Active,True
TEN-00015,PROP-0002,Pioneer Holdings 15,Residential,46952,34,2024-03-28,2027-03-28,68779.86,103169.79,Active,True
TEN-00016,PROP-0002,Parkside Clinic 16,Residential,17306,38,2021-08-14,2024-08-14,77534.95,155069.91,Active,True
