invoice_id,property_id,vendor_id,vendor_name,invoice_number,invoice_category,invoice_date,due_date,paid_date,invoice_amount,approval_status,gl_code,late_payment_flag,potential_duplicate_invoice_flag,missing_gl_code_flag,compliance_flag,synthetic_record
INVREC-0000001,PROP-0001,VEND-011,CleanCore Services,INV-0001-01-00001,Janitorial,2025-01-04,2025-02-03,2025-02-01,565.15,Approved,6400,False,False,False,False,True
INVREC-0000002,PROP-0001,VEND-005,Bright Electric,INV-0001-01-00002,Repairs & Maintenance,2025-01-06,2025-01-21,2025-01-20,2104.28,Approved,6100,False,False,False,False,True
INVREC-0000003,PROP-0001,VEND-013,Urban Greenery,INV-0001-01-00003,Landscaping,2025-01-09,2025-02-08,2025-02-04,222.06,Approved,6500,False,False,False,False,True
INVREC-0000004,PROP-0001,VEND-002,Skyline Maintenance,INV-0001-01-00004,Repairs & Maintenance,2025-01-02,2025-02-01,2025-01-26,848.24,Approved,6100,False,False,False,False,True
INVREC-0000005,PROP-0001,VEND-003,Metro Mechanical,INV-0001-01-00005,Repairs & Maintenance,2025-01-16,2025-02-15,2025-02-15,527.48,Approved,6100,False,False,False,False,True
INVREC-0000006,PROP-0001,VEND-004,Ace Plumbing,INV-0001-01-00006,Repairs & Maintenance,2025-01-09,2025-01-24,2025-01-17,1570.73,Approved,6100,False,False,False,False,True
INVREC-0000007,PROP-0001,VEND-012,Sparkle Janitorial,INV-0001-01-00007,Janitorial,2025-01-13,2025-02-12,2025-02-05,79.22,Approved,6400,False,False,False,False,True
INVREC-0000008,PROP-0001,VEND-002,Skyline Maintenance,INV-0001-01-00008,Repairs & Maintenance,2025-01-25,2025-02-09,2025-02-05,582.5,Approved,6100,False,False,False,False,True
INVREC-0000009,PROP-0001,VEND-017,OfficeWorks Supply,INV-0001-01-00009,Administrative,2025-01-05,2025-02-04,2025-01-28,279.95,Approved,6800,False,False,False,False,True
INVREC-0000010,PROP-0001,VEND-007,NY Water Services,INV-0001-02-00010,Utilities,2025-02-09,2025-02-24,2025-02-23,354.53,Approved,6200,False,False,False,False,True
INVREC-0000011,PROP-0001,VEND-002,Skyline Maintenance,INV-0001-02-00011,Repairs & Maintenance,2025-02-04,2025-03-06,2025-03-01,3280.77,Approved,6100,False,False,False,False,True
INVREC-0000012,PROP-0001,VEND-003,Metro Mechanical,INV-0001-02-00012,Repairs & Maintenance,2025-02-19,2025-04-05,2025-04-04,1430.19,Approved,6100,False,False,False,False,True
INVREC-0000013,PROP-0001,VEND-014,LedgerPro Accounting,INV-0001-02-00013,Professional Services,2025-02-08,2025-02-23,2025-02-28,1239.52,Approved,6600,True,False,False,True,True
INVREC-0000014,PROP-0001,VEND-014,LedgerPro Accounting,INV-0001-02-00014,Professional Services,2025-02-18,2025-03-20,2025-03-13,1519.93,Pending,6600,False,False,False,True,True
INVREC-0000015,PROP-0001,VEND-003,Metro Mechanical,INV-0001-02-00015,Repairs & Maintenance,2025-02-15,2025-03-17,2025-03-13,847.2,Approved,6100,False,False,False,False,True
INVREC-0000016,PROP-0001,VEND-008,Gridline Energy,INV-0001-03-00016,Utilities,2025-03-06,2025-03-21,2025-03-17,4837.65,Approved,6200,False,False,False,False,True
INVREC-0000017,PROP-0001,VEND-003,Metro Mechanical,INV-0001-03-00017,Repairs & Maintenance,2025-03-12,2025-04-11,2025-04-04,2710.84,Pending,6100,False,False,False,True,True
INVREC-0000018,PROP-0001,VEND-014,LedgerPro Accounting,INV-0001-03-00018,Professional Services,2025-03-13,2025-04-12,2025-04-09,3184.48,Approved,6600,False,False,False,False,True
INVREC-0000019,PROP-0001,VEND-002,Skyline Maintenance,INV-0001-03-00019,Repairs & Maintenance,2025-03-17,2025-04-16,2025-04-15,2933.42,Approved,6100,False,False,False,False,True
INVREC-0000020,PROP-0001,VEND-004,Ace Plumbing,INV-0001-04-00020,Repairs & Maintenance,2025-04-16,2025-05-01,2025-04-29,1959.86,Approved,6100,False,False,False,False,True
INVREC-0000021,PROP-0001,VEND-008,Gridline Energy,INV-0001-04-00021,Utilities,2025-04-02,2025-05-02,2025-04-30,375.5,Approved,6200,False,False,False,False,True
