work_order_id,property_id,tenant_id,opened_date,closed_date,work_order_category,priority,status,sla_days,days_to_close,overdue_flag,estimated_cost,vendor_id,vendor_name,synthetic_record
WO-0000001,PROP-0001,TEN-00005,2025-01-21,2025-02-04,HVAC,High,Closed,3,14,True,651.45,VEND-005,Bright Electric,True
WO-0000002,PROP-0001,TEN-00009,2025-02-02,2025-02-09,Elevator,Medium,Closed,7,7,False,114.97,VEND-003,Metro Mechanical,True
WO-0000003,PROP-0001,,2025-02-03,,Tenant Request,High,In Progress,3,,True,648.15,VEND-012,Sparkle Janitorial,True
WO-0000004,PROP-0001,TEN-00003,2025-03-28,,Preventive Maintenance,Medium,In Progress,7,,False,330.37,VEND-010,FrontDesk Patrol,True
WO-0000005,PROP-0001,TEN-00002,2025-05-20,2025-06-03,Elevator,Medium,Closed,7,14,True,618.86,VEND-003,Metro Mechanical,True
WO-0000006,PROP-0001,TEN-00004,2025-05-08,,Preventive Maintenance,Medium,In Progress,7,,True,1040.34,VEND-009,Guardian Security,True
WO-0000007,PROP-0001,,2025-06-27,,Elevator,High,Open,3,,True,1736.69,VEND-010,FrontDesk Patrol,True
WO-0000008,PROP-0001,,2025-07-03,2025-07-14,HVAC,Low,Closed,14,11,False,74.01,VEND-002,Skyline Maintenance,True
WO-0000009,PROP-0001,TEN-00005,2025-07-10,,Electrical,Low,In Progress,14,,False,206.7,VEND-009,Guardian Security,True
WO-0000010,PROP-0001,,2025-07-16,2025-08-02,Tenant Request,Medium,Closed,7,17,True,194.51,VEND-003,Metro Mechanical,True
WO-0000011,PROP-0001,,2025-08-09,2025-08-26,Plumbing,Medium,Closed,7,17,True,103.65,VEND-003,Metro Mechanical,True
WO-0000012,PROP-0001,TEN-00007,2025-08-24,2025-09-04,Security,Low,Closed,14,11,False,122.2,VEND-004,Ace Plumbing,True
WO-0000013,PROP-0001,TEN-00011,2025-09-12,,Plumbing,Low,Open,14,,False,111.59,VEND-005,Bright Electric,True
WO-0000014,PROP-0001,TEN-00004,2025-10-17,,Electrical,Medium,Open,7,,False,939.4,VEND-004,Ace Plumbing,True
WO-0000015,PROP-0001,TEN-00003,2025-11-03,,Tenant Request,High,In Progress,3,,True,1336.45,VEND-001,Rapid Repair Co,True
WO-0000016,PROP-0001,TEN-00009,2025-11-15,2025-11-20,Electrical,Medium,Closed,7,5,False,330.7,VEND-012,Sparkle Janitorial,True
WO-0000017,PROP-0002,TEN-00015,2025-01-24,,Electrical,Medium,Open,7,,False,201.83,VEND-012,Sparkle Janitorial,True
WO-0000018,PROP-0002,TEN-00020,2025-01-05,2025-01-06,HVAC,Medium,Closed,7,1,False,750.02,VEND-004,Ace Plumbing,True
WO-0000019,PROP-0002,TEN-00016,2025-01-10,2025-01-13,Janitorial,High,Closed,3,3,False,801.51,VEND-004,Ace Plumbing,True
